sample_id,cnv_lr,cnv_baf,methylation_normalized,mutation,rna_normalized,protein_normalized,phospho_normalized
CPT0014450004,0.233738,NA,-0.832282715,1,0.013185635,-1.515105311,-0.790361408
CPT0024670003,0.287277,NA,-0.020191164,1,0.194087382,-0.671591447,1.416188801
CPT0009000003,0.013794,0.26,0.535820416,1,-1.4799021,-2.319885991,-1.450601036
CPT0014370004,0.037669,NA,-0.349691563,0,-0.548980505,NA,-0.263546126
CPT0019130003,0.015692,0.29,-0.31912736,1,-1.440416594,NA,-2.58171949
CPT0025110003,-0.017799,0.4452,-0.890692931,0,0.984060365,1.368208548,0.083410858
CPT0012900004,0.069932,NA,0.157032422,0,-0.242135156,-0.149904192,-0.440370902
CPT0079480003,-0.007981,0.2777,NA,1,-0.430025834,-0.037893219,0.45021392
CPT0012370003,0.037887,0.4494,-0.316743207,0,-0.542521509,-0.325322168,-0.720920259
CPT0026410003,0.030548,NA,0.07772459,0,-0.094711494,-0.628401806,-0.059666414
CPT0065810003,-0.010092,0.4343,-0.285952352,0,-0.695875506,-1.432988036,-0.595120333
CPT0077490003,0.000447,0.458,0.679173673,1,0.458027716,-0.160731886,-0.359030419
CPT0006630003,-0.000552,0.4521,-0.168690336,0,1.983065485,1.406194597,-1.561894566
CPT0079270003,-3.00E-05,0.4502,-0.38359188,0,0.949210521,0.52778667,0.764934213
CPT0009060003,0.063468,NA,-0.221445689,0,-0.164992788,-0.116072065,0.198917218
CPT0025230003,0.05365,0.3351,-0.45564572,0,-0.239524099,-1.059381546,0.209998498
CPT0064370003,-0.002206,0.3412,-0.307446862,1,-0.366640273,2.440121314,-0.501666966
CPT0085670003,-0.013346,0.2974,-0.138575324,0,-0.398449055,-0.383391835,-0.382731873
CPT0019990003,0.019323,0.4649,0.006086485,0,-0.263484836,0.734747426,0.45303915
CPT0007860003,-0.075176,0.4601,-0.529753086,0,0.802184679,0.918280735,0.039922246
CPT0088630003,0.020941,NA,-0.010835381,1,-1.249089385,-1.315877102,-1.016157431
CPT0088900003,0.032232,NA,0.198945426,0,-0.369264501,-0.221683187,-0.819322885
CPT0086870003,0.012033,NA,-0.252990439,0,-0.798244697,NA,-1.460224537
CPT0081600003,0.054795,0.3425,-0.130888103,0,-0.473908196,0.09453628,-0.528910668
CPT0001540009,0.013331,0.3482,0.802961735,0,-0.616501218,NA,0.658035063
CPT0092290003,0.063176,NA,-1.258165289,0,0.330710723,0.066923338,-1.305004852
CPT0092790003,0.010061,NA,NA,0,-0.670867134,-0.592728373,-0.572222822
CPT0025880003,-0.043916,0.4447,-0.009326283,0,-0.625306318,-0.959390373,-1.287984455
CPT0011240003,-0.019938,0.445,-0.32872625,0,0.804575398,0.91545116,-0.702817825
CPT0021240003,0.023321,0.4479,-0.563310556,0,0.939889018,1.040717341,1.603575537
CPT0092160003,0.000992,NA,-0.278229131,1,-1.290566294,0.50070691,-1.15640181
CPT0012670003,-0.046481,0.4491,-0.560630776,0,-0.581765772,-0.627685304,-0.413581217
CPT0075720003,0.001463,0.4511,0.019077985,0,-0.302808608,-0.515881583,-0.027901386
CPT0065690003,0.226492,NA,-0.519251939,0,0.30114095,0.369747651,-0.574301063
CPT0001340003,-0.470122,0.2556,0.837053778,1,-1.428056639,-0.971864313,-0.607524945
CPT0086820003,0.018111,NA,-0.283539796,0,0.153122949,NA,0.53243768
CPT0015730003,0.04185,0.4464,-0.665813758,0,1.37891809,1.417308129,0.00519083
CPT0007320003,0.005528,NA,0.127874233,0,-0.465305325,NA,-1.192921178
CPT0075130003,0.006601,0.4543,0.199983078,0,1.834971024,0.726654833,1.607736566
CPT0015810003,-0.002905,0.4461,-0.080543945,0,-0.218383192,0.152335801,-0.581454934
CPT0012280003,0.007846,0.454,-0.751070732,0,1.542394362,1.107856597,1.218840375
CPT0065430003,0.011468,NA,0.014744097,0,-0.643277331,NA,-0.146316053
CPT0079410003,-0.033289,0.3436,0.076936012,0,-0.437296176,0.054412993,0.545010339
CPT0075560003,0.011619,0.4493,-0.119789686,0,-0.446840114,-1.722254401,0.337221865
CPT0006440003,0.081147,NA,-0.112910645,0,-0.126173501,-0.593032346,-0.359844079
CPT0025580004,-0.029115,NA,0.78178551,1,-1.110663997,-0.345646826,-1.051466179
CPT0077310003,0.061667,0.4394,0.126173198,0,0.402051611,0.905438099,-0.527953334
CPT0006900003,0.021171,NA,-0.175146755,0,-0.224068134,-0.403604673,-0.302985373
CPT0001500009,-0.550917,0.2626,2.218383241,0,-0.691927404,-1.455621358,0.609481842
CPT0078830003,0.026381,0.4584,-0.466362762,0,0.264044048,-0.128865889,-0.395569361
CPT0010160003,-0.060386,NA,-0.669519907,0,-0.364715558,1.228621753,0.297159783
CPT0000780007,-0.029655,NA,1.611486203,1,-1.295015093,NA,-2.424800365
CPT0086030003,-0.00237,0.4455,0.131754002,0,1.488535492,0.481539801,-0.580011752
CPT0000640003,0.02013,0.3864,0.20275628,0,-0.092605528,-0.534871921,1.186223894
CPT0078930003,0.015082,0.4548,-0.514723764,0,0.32528112,1.675859772,-0.430128642
CPT0078990003,-0.005351,0.4171,-1.315339937,0,1.902296976,NA,0.623477304
CPT0078510003,-0.086817,NA,-0.0213934,1,-1.454158876,-1.199298869,0.107102256
CPT0087040003,-0.000735,0.4585,-0.178503872,0,-0.30186345,0.089437753,-1.105523603
CPT0001180009,0.07799,0.4506,0.455676825,0,-0.720602825,NA,0.248348588
CPT0014160003,-0.393177,0.3514,-0.480275251,0,-0.823266428,-1.537484053,-1.15282729
CPT0069000003,0.031948,0.453,0.594340237,0,-0.480765031,NA,-0.082565904
CPT0017410003,-0.032091,0.4458,0.075912614,0,-0.39067661,-0.444563465,-0.721673461
CPT0063320003,-0.401762,0.2033,-0.010954241,0,0.286501296,NA,-0.081589508
CPT0000870016,0.009365,0.4315,1.152685502,0,-0.689666466,NA,0.393524274
CPT0025290003,0.033304,NA,0.096517624,0,-0.380199026,-0.252416093,-0.763828588
CPT0001220008,0.01171,0.2447,1.171132859,1,-0.63015176,-1.157997173,-1.831225128
CPT0025350003,0.000495,0.4425,-0.539465204,0,-0.42550859,-0.741139795,0.296544145
CPT0088690003,0.114801,NA,-0.315632366,1,-1.169994765,-1.681633402,-1.455053822
CPT0023690003,0.017643,0.4462,0.015823718,0,-0.388600746,-1.204423614,-0.787858488
CPT0065870003,0.032862,NA,-0.146629249,0,-0.657103726,NA,0.77388714
CPT0002350011,0.073297,0.4414,0.162374913,0,-0.67383145,-0.742228732,-0.092863312
CPT0020120003,0.029675,0.4504,-0.120347364,0,-0.404579389,0.572534816,1.277976773
CPT0012180003,0.109544,0.4435,0.023063226,0,0.145632795,1.350112074,1.515508732
CPT0086360003,-0.002272,0.4466,-0.35217036,0,1.108041705,1.125220906,1.396856973
