Aliquot ID,chr3_2_translocation,chr3_5_translocation,CNV subtype,14q,7p,5q,3p
CPT0014450004,No,No,1,loss,LR amplification,LR amplification,loss
CPT0001260009,No,confirmed,2,LR neutral LOH,LR amplification,LR amplification,loss
CPT0024670003,No,confirmed,1,loss,LR amplification,LR amplification,loss
CPT0009000003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0014370004,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0019130003,No,No,4,LR neutral,LR amplification,LR neutral,loss
CPT0025110003,No,No,4,LR neutral,LR amplification,LR amplification,loss
CPT0012900004,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0079480003,No,confirmed,2,LR neutral,LR neutral,LR amplification,loss
CPT0012370003,No,No,2,loss,LR neutral,LR neutral,loss
CPT0081880003,confirmed,No,1,loss,LR amplification,LR neutral,loss
CPT0026410003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0065810003,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0077490003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0006630003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0079270003,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0009060003,No,No,2,loss,LR neutral,LR neutral,loss
CPT0025230003,confirmed,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0064370003,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0085670003,No,No,3,loss,LR amplification,LR amplification,loss
CPT0019990003,No,confirmed,2,loss,LR neutral,LR amplification,loss
CPT0007860003,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0088630003,No,No,4,LR neutral,LR amplification,LR neutral,loss
CPT0088900003,confirmed,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0086870003,No,confirmed,2,LR neutral,LR neutral,LR amplification,loss
CPT0081600003,No,No,3,loss,LR amplification,LR amplification,loss
CPT0001540009,No,No,2,loss,LR neutral,LR amplification,loss
CPT0092290003,No,No,2,loss,LR neutral,LR neutral,loss
CPT0092790003,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0025880003,No,No,3,loss,LR amplification,LR amplification,loss
CPT0011240003,No,confirmed,4,LR neutral,LR amplification,LR amplification,loss
CPT0021240003,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0092160003,No,No,2,loss,LR neutral,LR amplification,loss
CPT0012670003,No,confirmed,1,loss,LR amplification,LR amplification,loss
CPT0075720003,No,No,4,LR neutral,LR amplification,LR neutral,loss
CPT0065690003,confirmed,confirmed,1,LR neutral,LR amplification,LR amplification,loss
CPT0001340003,No,confirmed,3,loss,LR neutral,LR amplification,loss
