#tax_id,GeneID,Symbol
9606,29974,A1CF
9606,2,A2M
9606,144568,A2ML1
9606,53947,A4GALT
9606,8086,AAAS
9606,79719,AAGAB
9606,14,AAMP
9606,15,AANAT
9606,16,AARS
9606,57505,AARS2
9606,132949,AASDH
9606,10157,AASS
9606,9625,AATK
9606,18,ABAT
9606,19,ABCA1
9606,26154,ABCA12
9606,154664,ABCA13
9606,20,ABCA2
9606,21,ABCA3
9606,24,ABCA4
9606,23461,ABCA5
9606,10347,ABCA7
9606,5243,ABCB1
9606,8647,ABCB11
9606,5244,ABCB4
9606,10058,ABCB6
9606,22,ABCB7
9606,4363,ABCC1
9606,85320,ABCC11
9606,1244,ABCC2
9606,10257,ABCC4
9606,10057,ABCC5
9606,368,ABCC6
9606,6833,ABCC8
9606,10060,ABCC9
9606,215,ABCD1
9606,5825,ABCD3
9606,5826,ABCD4
9606,6059,ABCE1
9606,23,ABCF1
9606,55324,ABCF3
9606,9429,ABCG2
9606,64137,ABCG4
9606,64240,ABCG5
9606,64241,ABCG8
9606,26090,ABHD12
9606,51099,ABHD5
9606,10006,ABI1
9606,25,ABL1
9606,27,ABL2
9606,3983,ABLIM1
9606,22885,ABLIM3
9606,28,ABO
9606,29,ABR
9606,84142,ABRAXAS1
9606,80325,ABTB1
9606,30,ACAA1
9606,31,ACACA
9606,32,ACACB
9606,84129,ACAD11
9606,27034,ACAD8
9606,28976,ACAD9
9606,33,ACADL
9606,34,ACADM
9606,35,ACADS
9606,36,ACADSB
9606,37,ACADVL
9606,176,ACAN
9606,38,ACAT1
9606,39,ACAT2
9606,64746,ACBD3
9606,91452,ACBD5
9606,65057,ACD
9606,1636,ACE
9606,59272,ACE2
9606,43,ACHE
9606,22985,ACIN1
9606,2532,ACKR1
9606,47,ACLY
9606,50,ACO2
9606,23597,ACOT9
9606,51,ACOX1
9606,8309,ACOX2
9606,52,ACP1
9606,53,ACP2
9606,93650,ACP4
9606,54,ACP5
9606,51205,ACP6
9606,55,ACPP
9606,56,ACRV1
9606,197322,ACSF3
9606,2182,ACSL4
9606,23305,ACSL6
9606,123876,ACSM2A
9606,55902,ACSS2
9606,58,ACTA1
9606,59,ACTA2
9606,60,ACTB
9606,70,ACTC1
9606,71,ACTG1
9606,72,ACTG2
9606,87,ACTN1
9606,88,ACTN2
9606,89,ACTN3
9606,81,ACTN4
9606,10121,ACTR1A
9606,139741,ACTRT1
9606,90,ACVR1
9606,91,ACVR1B
9606,93,ACVR2B
9606,94,ACVRL1
9606,95,ACY1
9606,100,ADA
9606,51816,ADA2
9606,102,ADAM10
9606,8038,ADAM12
9606,8751,ADAM15
9606,6868,ADAM17
9606,8728,ADAM19
9606,8745,ADAM23
9606,10863,ADAM28
9606,8754,ADAM9
9606,81794,ADAMTS10
9606,11093,ADAMTS13
9606,140766,ADAMTS14
9606,170691,ADAMTS17
9606,170692,ADAMTS18
9606,9509,ADAMTS2
9606,80070,ADAMTS20
9606,9508,ADAMTS3
9606,11173,ADAMTS7
9606,11095,ADAMTS8
9606,9719,ADAMTSL2
9606,54507,ADAMTSL4
9606,55803,ADAP2
9606,103,ADAR
9606,104,ADARB1
9606,23536,ADAT1
9606,113179,ADAT3
9606,107,ADCY1
9606,55811,ADCY10
9606,108,ADCY2
9606,111,ADCY5
9606,112,ADCY6
9606,115,ADCY9
9606,117,ADCYAP1R1
9606,118,ADD1
9606,119,ADD2
9606,120,ADD3
9606,84435,ADGRA1
9606,166647,ADGRA3
9606,30817,ADGRE2
9606,976,ADGRE5
9606,221393,ADGRF4
9606,9289,ADGRG1
9606,10149,ADGRG2
9606,139378,ADGRG4
9606,57211,ADGRG6
9606,23284,ADGRL3
9606,84059,ADGRV1
9606,125,ADH1B
9606,126,ADH1C
9606,9370,ADIPOQ
9606,51094,ADIPOR1
9606,132,ADK
9606,23394,ADNP
9606,134,ADORA1
9606,135,ADORA2A
9606,140,ADORA3
9606,148,ADRA1A
9606,150,ADRA2A
9606,151,ADRA2B
9606,152,ADRA2C
9606,153,ADRB1
9606,154,ADRB2
9606,155,ADRB3
9606,11047,ADRM1
9606,158,ADSL
9606,122622,ADSSL1
9606,165,AEBP1
9606,166,AES
9606,4301,AFDN
9606,2334,AFF2
9606,3899,AFF3
9606,27125,AFF4
9606,10939,AFG3L2
9606,174,AFP
9606,175,AGA
9606,116987,AGAP1
9606,116986,AGAP2
9606,116988,AGAP3
9606,123624,AGBL1
9606,60509,AGBL5
9606,177,AGER
9606,55109,AGGF1
9606,55750,AGK
9606,178,AGL
9606,10555,AGPAT2
9606,8540,AGPS
9606,375790,AGRN
9606,181,AGRP
9606,183,AGT
9606,185,AGTR1
9606,186,AGTR2
9606,189,AGXT
9606,191,AHCY
9606,10768,AHCYL1
9606,23382,AHCYL2
9606,27245,AHDC1
9606,54806,AHI1
9606,79026,AHNAK
9606,113146,AHNAK2
9606,57491,AHRR
9606,197,AHSG
9606,51327,AHSP
9606,57379,AICDA
9606,9131,AIFM1
9606,9255,AIMP1
9606,7965,AIMP2
9606,9049,AIP
9606,23746,AIPL1
9606,326,AIRE
9606,203,AK1
9606,204,AK2
9606,50808,AK3
9606,122481,AK7
9606,8165,AKAP1
9606,11216,AKAP10
9606,9590,AKAP12
9606,158798,AKAP14
9606,8227,AKAP17A
9606,11217,AKAP2
9606,8852,AKAP4
9606,9495,AKAP5
9606,9465,AKAP7
9606,10270,AKAP8
9606,10142,AKAP9
9606,56672,AKIP1
9606,254268,AKNAD1
9606,1646,AKR1C2
9606,8644,AKR1C3
9606,1109,AKR1C4
9606,6718,AKR1D1
9606,207,AKT1
9606,208,AKT2
9606,10000,AKT3
9606,210,ALAD
9606,212,ALAS2
9606,213,ALB
9606,214,ALCAM
9606,126133,ALDH16A1
9606,5832,ALDH18A1
9606,216,ALDH1A1
9606,8854,ALDH1A2
9606,220,ALDH1A3
9606,219,ALDH1B1
9606,10840,ALDH1L1
9606,160428,ALDH1L2
9606,217,ALDH2
9606,218,ALDH3A1
9606,224,ALDH3A2
9606,221,ALDH3B1
9606,222,ALDH3B2
9606,8659,ALDH4A1
9606,7915,ALDH5A1
9606,4329,ALDH6A1
9606,501,ALDH7A1
9606,64577,ALDH8A1
9606,223,ALDH9A1
9606,226,ALDOA
9606,229,ALDOB
9606,56052,ALG1
9606,84920,ALG10
9606,440138,ALG11
9606,79087,ALG12
9606,79868,ALG13
9606,199857,ALG14
9606,85365,ALG2
9606,10195,ALG3
9606,29929,ALG6
9606,79053,ALG8
9606,79796,ALG9
9606,238,ALK
9606,7840,ALMS1
9606,242,ALOX12B
9606,247,ALOX15B
9606,240,ALOX5
9606,241,ALOX5AP
9606,59344,ALOXE3
9606,57538,ALPK3
9606,249,ALPL
9606,250,ALPP
9606,57679,ALS2
9606,8092,ALX1
9606,257,ALX3
9606,60529,ALX4
9606,23600,AMACR
9606,258,AMBN
9606,265,AMELX
9606,266,AMELY
9606,139285,AMER1
9606,267,AMFR
9606,268,AMH
9606,269,AMHR2
9606,9949,AMMECR1
9606,81693,AMN
9606,154796,AMOT
9606,270,AMPD1
9606,271,AMPD2
9606,272,AMPD3
9606,275,AMT
9606,51321,AMZ2
9606,283,ANG
9606,284,ANGPT1
9606,285,ANGPT2
9606,27329,ANGPTL3
9606,51129,ANGPTL4
9606,286,ANK1
9606,287,ANK2
9606,288,ANK3
9606,56172,ANKH
9606,255239,ANKK1
9606,23141,ANKLE2
9606,27063,ANKRD1
9606,29123,ANKRD11
9606,23253,ANKRD12
9606,338692,ANKRD13D
9606,26287,ANKRD2
9606,22852,ANKRD26
9606,91074,ANKRD30A
9606,256006,ANKRD31
9606,56899,ANKS1B
9606,203286,ANKS6
9606,54443,ANLN
9606,55129,ANO10
9606,63982,ANO3
9606,203859,ANO5
9606,196527,ANO6
9606,50636,ANO7
9606,338440,ANO9
9606,3730,ANOS1
9606,84168,ANTXR1
9606,118429,ANTXR2
9606,308,ANXA5
9606,8906,AP1G2
9606,1174,AP1S1
9606,8905,AP1S2
9606,130340,AP1S3
9606,1175,AP2S1
9606,8546,AP3B1
9606,8120,AP3B2
9606,8943,AP3D1
9606,10717,AP4B1
9606,23431,AP4E1
9606,9179,AP4M1
9606,11154,AP4S1
9606,9907,AP5Z1
9606,317,APAF1
9606,322,APBB1
9606,323,APBB2
9606,324,APC
9606,10297,APC2
9606,147495,APCDD1
9606,327,APEH
9606,328,APEX1
9606,27301,APEX2
9606,51107,APH1A
9606,8539,API5
9606,8862,APLN
9606,334,APLP2
9606,335,APOA1
9606,336,APOA2
9606,337,APOA4
9606,116519,APOA5
9606,338,APOB
9606,341,APOC1
9606,344,APOC2
9606,345,APOC3
9606,348,APOE
9606,350,APOH
